district,puem_ltbi_estimate,rank,survey_rate
Mbarara,0.6040212685683396,1,0.33
Mbale,0.5923985144545786,2,0.31
Wakiso,0.5914616143114644,3,0.35
Jinja,0.5901317875999245,4,0.38
Kampala,0.5869707934164813,5,0.42
Hoima,0.5341290203781635,6,0.24
Buliisa,0.5279599738996498,7,
Kabarole,0.5218449803203558,8,0.23
Kasese,0.516761099099487,9,0.29
Bundibugyo,0.5118076123614017,10,0.19
Moroto,0.5115476756555962,11,
Masaka,0.3125136616897791,12,0.3
Amuru,0.30893013111888884,13,
Kyankwanzi,0.3077831760461124,14,
Lira,0.30684667479453626,15,0.25
Mpigi,0.3061942400044703,16,0.24
Kabale,0.3057809910229804,17,0.18
Kyegegwa,0.3048967828307185,18,
Kalungu,0.3048469137168562,19,
Rwampara2,0.30436461741457305,20,
Masindi,0.3033264387161286,21,0.25
Dokolo,0.30276801392048264,22,
Serere,0.30274338369290055,23,
Luwero,0.3025153742564362,24,0.19
Sembabule,0.30223030272810586,25,
Ngora,0.30195971237209523,26,
Kiruhura,0.30107673574315724,27,
Gomba,0.30088858612724984,28,
Bushenyi,0.3004741774806065,29,0.21
Kazo,0.2999675264224826,30,
Mityana,0.29991767360724736,31,0.21
Lwengo,0.29944115974981594,32,
Kamwenge,0.29920717394874785,33,
Kasanda,0.2991492923863296,34,
Ibanda,0.29893541550022323,35,
Kanungu,0.29883254130808484,36,
Bugweri,0.2985576686396059,37,
Iganga,0.2983979384501719,38,0.26
Kalaki,0.29834134515289795,39,
Kikuube,0.29820988955631267,40,
Bugiri,0.29818405464175335,41,
Gulu,0.2980483497729296,42,0.27
Apac,0.2979798432121766,43,
Arua,0.2974836876278392,44,0.2
Buhweju,0.2974605659004274,45,
Nakaseke,0.2973781369262399,46,0.17
Kayunga,0.2968997303390235,47,0.23
Buvuma,0.2968983150853955,48,
Moyo,0.2966822748596133,49,
Kibaale,0.29660449390671767,50,
Tororo,0.2965433148387296,51,0.32
Karenga,0.29653253623289816,52,
Kagadi,0.295745392116986,53,
Agago,0.29564803081610697,54,
Bukomansimbi,0.2953428827410695,55,
Rwampara,0.2953165157302344,56,
Butaleja,0.295259566770591,57,
Kaberamaido,0.2950269646503689,58,
Nakasongola,0.29449635932665513,59,
Mukono,0.2941139051966014,60,0.28
Isingiro,0.29398284892150967,61,0.2
Bulambuli,0.29392541913758785,62,
Kamuli,0.29333870129582645,63,
Amuria,0.29312423138875915,64,
Manafwa,0.2931082867031066,65,
Madi-Okollo,0.2930148600815056,66,
Kyotera,0.2929556896545787,67,
Ntoroko,0.29232109555854646,68,
Kapelebyong,0.29222745970126146,69,
Mubende,0.2921158890603075,70,0.26
Ntungamo,0.29209221888819137,71,0.22
Kapchorwa,0.29195706983150266,72,
Lamwo,0.29141139492950857,73,
Rakai,0.2914019838452301,74,0.28
Pallisa,0.29110316666230146,75,
Nwoya,0.29072888949098774,76,
Namutumba,0.29071663764585365,77,
Kakumiro,0.2903595045352402,78,
Kalangala,0.2902409448108855,79,
Obongi,0.29015334613045907,80,
Omoro,0.2899163341153068,81,
Lyantonde,0.28978142251828537,82,
Katakwi,0.2894946592986773,83,
Busia,0.28924540902828416,84,
Pakwach,0.28912303643753495,85,
Kumi,0.28882543753097395,86,
Kitgum,0.2887941728566389,87,
Pader,0.28861465779876533,88,
Kiboga,0.28824474617651674,89,
Buyende,0.28795304926434867,90,
Bunyangabu,0.28769096774523273,91,
Koboko,0.2870964056412598,92,
Napak,0.28678570753327864,93,
Amudat,0.28656191352434784,94,
Rukiga,0.2863131241645845,95,
Maracha,0.28608446928473924,96,
Kibuku,0.28557581093597867,97,
Nakapiripirit,0.2854644449630685,98,
Namisindwa,0.2853662608378554,99,
Amolatar,0.2850768175570711,100,
Kiryandongo,0.2846811431996262,101,
Zombo,0.28451794804946734,102,
Soroti,0.28439415816925695,103,0.22
Kaabong,0.2841130163477797,104,
Alebtong,0.2837652337848436,105,
Abim,0.28374222068245586,106,
Kisoro,0.2835570063508616,107,0.16
Sironko,0.28289136525906805,108,
Kole,0.2824499141462193,109,
Butebo,0.28244047475273415,110,
Kotido,0.2824158094491865,111,
Kitagwenda,0.28230708417786815,112,
Buikwe,0.28091333789888395,113,
Mitooma,0.2809035982039347,114,
Bududa,0.2804538749295005,115,
Rukungiri,0.27951249405681294,116,
Kaliro,0.2795080593068246,117,
Luuka,0.27948042180690685,118,
Rubirizi,0.279158976738559,119,
Yumbe,0.2789611448285784,120,
Nebbi,0.27884496530767466,121,
Namayingo,0.27830296106794034,122,
Bukedea,0.2782565761326703,123,
Adjumani,0.27709432307780507,124,
Rubanda,0.27584864894015776,125,
Otuke,0.27527785633212193,126,
Kyenjojo,0.27525922237959927,127,
Kwania,0.2738330133427019,128,
Sheema,0.2732405428237186,129,
Mayuge,0.27257902542940043,130,
Kween,0.2712695359523047,131,
Budaka,0.2698465464679393,132,
Bukwo,0.268209552690206,133,
Nabilatuk,0.267942756012235,134,
Oyam,0.2659618154055297,135,
